Municipality or Neighborhood,Community Type,County,Jan-June 2022,Renter Units,Eviction Rate
Shirley,Developing Suburbs,Middlesex,0,537,0.0
Somerville,Metro Core Community,Middlesex,33,"22,626",14.6
Stoneham,Maturing Suburbs,Middlesex,5,"3,319",15.1
Stoughton,Maturing Suburbs,Norfolk,65,"2,807",231.6
Stow,Developing Suburbs,Middlesex,0,360,0.0
Sudbury,Maturing Suburbs,Middlesex,5,564,88.7
Swampscott,Maturing Suburbs,Essex,8,"1,597",50.1
Tewksbury,Maturing Suburbs,Middlesex,20,"1,778",112.5
Townsend,Developing Suburbs,Middlesex,5,530,94.3
Tyngsborough,Developing Suburbs,Middlesex,7,731,95.8
Wakefield,Maturing Suburbs,Middlesex,21,"2,908",72.2
Walpole,Developing Suburbs,Norfolk,14,"1,640",85.4
Waltham,Streetcar Suburb,Middlesex,78,"11,946",65.3
Wareham,Developing Suburbs,Plymouth,42,"2,539",165.4
Watertown,Streetcar Suburb,Middlesex,20,"7,886",25.4
Wayland,Maturing Suburbs,Middlesex,0,410,0.0
Wellesley,Maturing Suburbs,Norfolk,2,"1,429",14.0
West Bridgewater,Developing Suburbs,Plymouth,2,333,60.1
West Newbury,Developing Suburbs,Essex,0,108,0.0
Westford,Developing Suburbs,Middlesex,6,982,61.1
Weston,Maturing Suburbs,Middlesex,1,527,19.0
Westwood,Maturing Suburbs,Norfolk,3,743,40.4
Weymouth,Maturing Suburbs,Norfolk,74,"7,768",95.3
Whitman,Developing Suburbs,Plymouth,16,"1,641",97.5
Wilmington,Maturing Suburbs,Middlesex,8,"1,236",64.7
Winchester,Maturing Suburbs,Middlesex,1,"1,310",7.6
Winthrop,Streetcar Suburb,Suffolk,0,"3,560",0.0
Woburn,Regional Urban Centers,Middlesex,55,"6,635",82.9
Wrentham,Developing Suburbs,Norfolk,17,664,256.0
Carlisle,Developing Suburbs,Middlesex,0,119,0.0
Wenham,Developing Suburbs,Essex,0,160,0.0
Topsfield,Developing Suburbs,Essex,0,240,0.0
