municipality,community_type,year_one,year_two,pct_change
Needham,Maturing Suburbs,1230000,1450000,17.9
Winchester,Maturing Suburbs,1319250,1500325,13.7
Concord,Maturing Suburbs,1487500,1560000,4.9
Belmont,Streetcar Suburbs,1441500,1575900,9.3
Newton,Streetcar Suburbs,1490000,1600000,7.4
Lexington,Maturing Suburbs,1500000,1600000,6.7
Dover,Developing Suburbs,1425000,1631500,14.5
Cambridge,Metro Core Communities,1537500,1775000,15.4
Lincoln,Maturing Suburbs,1375000,1794000,30.5
Wellesley,Maturing Suburbs,1665000,2055000,23.4
Weston,Maturing Suburbs,1852500,2182500,17.8
Brookline,Streetcar Suburbs,1850000,2542000,37.4
Boston,Metro Core Communities,3462500,4400000,27.1
